Pitcher,PitcherThrows,PitcherId,AutoPitchType,mean_velo,mean_vmov,mean_hmov,mean_spin,mean_vaa,mean_ext
"Devine, Andrew",Right,683153,Changeup,83.66351470588235,10.254540588235294,20.199523529411763,2061.342928882353,-5.474494911764706,6.16894
"Devine, Andrew",Right,683153,Curveball,73.05770146788991,-10.83386495412844,14.716749082568807,2500.8534698073395,-9.176592339449542,5.815349724770642
"Devine, Andrew",Right,683153,Four-Seam,90.80049304878048,16.138809237804878,10.163243231707318,2269.285624835366,-4.275588088414634,6.267010884146341
"Devine, Andrew",Right,683153,Sinker,90.3317948,14.6475692,14.391595,2259.2366791,-4.83386764,6.22352
"Devine, Andrew",Right,683153,Slider,80.69948610294118,0.8567836029411765,6.789473897058824,2514.0762439485293,-7.253407911764706,5.794377867647059
"Dunkelberger, Michael",Left,685317,Changeup,83.43473965517241,8.608965114942528,15.597559396551723,1904.3119461005747,-6.876760793103449,5.822439482758621
"Dunkelberger, Michael",Left,685317,Curveball,74.64830661538461,-4.2835783076923075,10.897454307692307,2365.233979553846,-9.268425292307692,5.484435538461539
"Dunkelberger, Michael",Left,685317,Cutter,87.40856,11.997209999999999,3.56303,2086.6556250000003,-6.041183,6.186035
"Dunkelberger, Michael",Left,685317,Four-Seam,87.63289526315789,15.546628421052631,8.549352105263157,2154.2876704210526,-4.932552894736842,5.916953684210527
"Dunkelberger, Michael",Left,685317,Sinker,87.24753033707866,9.9179947752809,13.576572528089887,2111.507146769663,-6.012972308988764,5.836943539325842
"Dunkelberger, Michael",Left,685317,Slider,79.23990971428572,6.128167333333334,5.418789619047619,2356.0156103365384,-7.631504723809524,5.602673619047619
"Crum, Derek",Left,687007,Changeup,85.15478210526315,5.209544736842105,19.779896052631578,2102.5586175526314,-6.518711710526316,4.936109210526316
"Crum, Derek",Left,687007,Curveball,79.35479083333334,-2.1766275,9.315910833333334,2592.9647998333335,-8.228774833333333,4.712000833333334
"Crum, Derek",Left,687007,Cutter,88.45720666666666,10.35494,3.494543333333333,2312.5319263333336,-5.4569106666666665,5.260173333333333
"Crum, Derek",Left,687007,Four-Seam,89.59098037974684,14.773344050632911,9.525831645569621,2279.9817542025316,-4.59187788607595,5.194046582278481
"Crum, Derek",Left,687007,Sinker,89.54520616071429,11.489135267857144,15.557023125,2249.815643044643,-5.358480892857143,5.150421875
"Crum, Derek",Left,687007,Slider,79.656946125,1.620170625,9.35131525,2480.70785195,-7.23955485,4.695393125
"Shine, Chris",Right,688626,Changeup,83.7391995,12.1218,15.4188075,1891.3742917,-6.5882095,5.393687
"Shine, Chris",Right,688626,Curveball,77.19843666666667,-0.25383333333333336,6.50465,2386.8083506666667,-8.402010666666666,5.213583333333333
"Shine, Chris",Right,688626,Four-Seam,89.52981508474576,19.51847601694915,10.974470338983052,2307.5350649067796,-5.181896440677966,5.631836779661017
"Shine, Chris",Right,688626,Sinker,89.03023148148148,15.897355185185186,15.998931111111112,2289.8875203703706,-5.843828333333334,5.630848518518518
"Shine, Chris",Right,688626,Slider,81.47942844444444,1.122211111111111,4.714208666666667,2417.1922914,-7.711194777777778,5.010003111111111
"Bye, Cameron",Right,694451,Changeup,82.94864,11.9728125,16.491535,1798.8700319999998,-7.653455749999999,5.59588
"Bye, Cameron",Right,694451,Curveball,77.90641302752293,-13.607424770642202,11.330230825688073,2480.797002761468,-9.623302486238533,5.000589449541285
"Bye, Cameron",Right,694451,Cutter,91.80705833333333,11.548398333333333,2.3164116666666668,2230.8066665,-6.430959666666666,5.492231666666667
"Bye, Cameron",Right,694451,Four-Seam,92.27880540816327,17.306210586734693,3.3095773724489796,2236.855792841432,-5.305040285714286,5.651265510204082
"Bye, Cameron",Right,694451,Sinker,91.005245,8.832070000000002,11.10221,2289.8543345,-3.8235289999999997,5.46782
"Bye, Cameron",Right,694451,Slider,83.55701697674418,3.0376656976744187,3.50115,2295.2481165,-7.50271811627907,5.194743255813954
"Stallings, Cole",Right,694513,Changeup,84.196815,10.25166375,13.9697025,1971.808156,-6.4045591250000005,5.58508
"Stallings, Cole",Right,694513,Curveball,77.33922720588235,-10.74375411764706,7.253988088235294,2009.0302410294119,-9.248414779411764,4.890646470588235
"Stallings, Cole",Right,694513,Cutter,86.64189,10.17001,0.51209,2394.844384,-7.046214,5.46277
"Stallings, Cole",Right,694513,Four-Seam,89.6607900913242,20.04121493150685,12.454396347031963,2210.278050712329,-5.037852748858447,5.405846757990868
"Stallings, Cole",Right,694513,Sinker,89.599631875,16.1041159375,16.149729999999998,2213.00113484375,-5.900627625,5.3489821875
"Stallings, Cole",Right,694513,Slider,83.48436648148149,0.8448340740740741,4.191284074074074,2202.284128851852,-7.635566092592593,5.094394444444444
"Jacobs, Dylan",Right,695631,Changeup,86.04902846153847,11.066005128205129,11.586526153846155,1648.6274997948717,-6.90575941025641,6.425653333333333
"Jacobs, Dylan",Right,695631,Curveball,76.64379948717949,-6.946724358974359,10.933850384615384,2051.711909628205,-9.0944605512820509,5.831895897435897
"Jacobs, Dylan",Right,695631,Cutter,88.22145,14.63694,0.92724,2150.956401,-6.560164,6.52702
"Jacobs, Dylan",Right,695631,Four-Seam,90.02352755494506,18.394722170329672,4.37755989010989,2114.6014309505495,-5.392637587912088,6.222529752747253
"Jacobs, Dylan",Right,695631,Sinker,91.02063,13.15426,11.76863,2080.280107,-6.886074,6.23037
"Jacobs, Dylan",Right,695631,Slider,81.8482418556701,2.4400846391752578,5.3086573195876285,2003.0712544742269,-7.461060412371134,5.891668969072165
